Amarinder Singh,Dharmendra Pradhan,Dilip Pandey,S. R. Balasubramoniyan,Sanjay Das Burma,,,,,,Shyam Sundar Sharma,Nilotpal Basu,M. R. K. Panneerselvam,Dilip Walse Patil,Rajesh Ranjan alias Pappu Yadav,Naresh Gujral,Sudhir Joshi,Jayant Chaudhary,Nandamuri Kalyan Ram,Shobhandeb Chattopadhyay,V. Prashanth Reddy,Buggana Rajendranath Reddy,,,,SWAPAN MALIK,,,,,,PROF. GHULAM GHOUS,,,,,,,,,,,,,,
Sheila Dikshit,Mukhtar Abbas Naqvi,Sanjeev Jha,V. Saroja,Snehangini Chhuria,,,,,,Mayawati,Tapan Kumar Sen,R. Manoharan,Ajit Pawar,Alok Kumar Mehta,Prem Singh Chandumajra,Sena,Kalyan Singh,Nandamuri Suhasini,Abhijit Mukherjee,Indrakaran Reddy,Anam Ramanarayana Reddy,,,,KANAI BANERJEE,,,,,,DEVENDRA PRASAD YADAV,,,,,,,,,,,,,,
Rajeev Shukla,Kiren Rijiju,Nitin Tyagi,P. B. Beno Zephine,Pradeep Maharathy,,,,,,Satish Chandra Misra,Kanhaiya Kumar,P. Geetha Jeevan,Rajendra Shingne,Anirudh Prasad alias Sadhu Yadav,Ranjit Singh Brahmpura,Shivsena,Kamlesh Katheria,Nandamuri Mokshagna Teja,Amit Mitra,Ch. Malla Reddy,B. Rajendranath Reddy,,,,SHIBRATAN SHARMA,,,,,,DILESHWAR KAMAIT,,,,,,,,,,,,,,
Raj Babbar,Pramod Mahajan,Sarita Singh,MGR,Damodar Rout,,,,,,Ashok Siddharth,M. S. Swaminathan,T. M. Selvaganapathi,Fauzia Khan,Chandrika Rai,Bikram Singh Majithia,Shiv Sena,Kanta Kardam,Payyavula Keshav,Chandrima Bhattacharya,Mahender Reddy,Alla Ramakrishna Reddy,,,,,,,,,,VIJAY KUMAR MANDAL,,,,,,,,,,,,,,
Ashok Chavan,Shahnawaz Hussain,Kapil Mishra,EPS,Debi Prasad Mishra,,,,,,Mewalal Gautam,K. Narayana,K. N. Nehru,Jitendra Awhad,Vijay Krishna,Paramjit Kaur Gulshan,Deepak Sawant,Kapil Dev Agarwal,KE Krishna Murthy,Partha Chatterjee,Sabitha Indra Reddy,Amzath Basha Shaik Bepari,,,,,,,,,,AKHTARUL IMAN,,,,,,,,,,,,,,
Prithviraj Chavan,Sushri Hema Malini,Adarsh Shastri,OPS,Usha Devi,,,,,,Ritesh Pandey,G. Sudhakar Reddy,P. Karthikeyan,Hasan Mushrif,Dinesh Prasad Yadav,Bibi Jagir Kaur,Raj Thackeray,Kunwar Reoti Raman Singh,Yanamala Rama Krishnudu,Purnendu Basu,S. Niranjan Reddy,P. Raghunatha Reddy,,,,,,,,,,DR. RAM PRAKASH MAHTO,,,,,,,,,,,,,,
Milind Deora,Varun Gandhi,Ankit Lal,Sasikala,Prafulla Samal,,,,,,Munquad Ali,Rajendra Prasad Singh,S. R. Parthiban,Nawab Malik,Bhudev Choudhary,Simranjit Singh Mann,Avinash Abhyankar,Lallan Ram,Bonda Uma Maheswara Rao,Aroop Biswas,A. Indrakaran Reddy,Kakani Govardhan Reddy,,,,,,,,,,SANTOSH KUMAR,,,,,,,,,,,,,,
Shatrughan Sinha,Sakshi Maharaj,Ashish Khetan,Jayakumar,Raghunath Mohanty,,,,,,Narender Kashyap,K. Subbarayan,N. Siva,Gulabrao Deokar,Anant Singh,Surjit Singh Rakhra,Vilas Potnis,Lalmani Prasad,Ayyannapatrudu,Sovandeb Chattopadhyay,Prashanth Reddy V,Kotamreddy Sridhar Reddy,,,,,,,,,,SHARAD YADAV,,,,,,,,,,,,,,
Sushil Kumar Shinde,Ravi Kishan,Ashutosh,Munusamy,Pranab Prakash Das,,,,,,Brijesh Pathak,Mohammed Salim,P. M. Moideen Khan,Sachin Ahir,Sudhakar Singh,Virsa Singh Valtoha,Vijay Auti,Laxmi Gautam,Kodela Sivaprasad,Jyotipriya Mallick,Errabelli Dayakar Rao,K. Srinivasulu,,,,,,,,,,SANJAY KUMAR JHA,,,,,,,,,,,,,,
Pawan Bansal,Giriraj Singh,Jitender Singh Tomar,Sengottaiyan,Badrinarayan Patra,,,,,,Akhilesh Das,Annie Raja,J. Anbazhagan,Dr. R. S. Gavai,Ram Lakhan Singh Yadav,Gulzar Singh Ranike,Anil Patankar,Laxmi Yadav,Silpa Mohan Reddy,Rajib Banerjee,Talasani Srinivas Yadav,Balineni Srinivasa Reddy,,,,,,,,,,VIJENDRA CHAUDHARY,,,,,,,,,,,,,,
Haroon Yusuf,Manoj Tiwari,Somnath Bharti,Shanmugam,Ashok Chandra Panda,,,,,,Jai Prakash Singh,Pallab Sengupta,R. Mohan Raj,Datta Meghe,Vijay Prakash,Tota Singh,Kishor Dange,Madhu Gupta,Thummala Nageswara Rao,Suvendu Adhikari,Etela Rajender,Y. S. Avinash Reddy,,,,,,,,,,VIJAY KUMAR SAHNI,,,,,,,,,,,,,,
Ajay Maken,Yashwant Sinha,Vandana Kumari,Vaithilingam,Pushpendra Singh Deo,,,,,,Atar Singh Rao,R. Mutharasan,R. T. Ramachandran,Supriya Sule,Kanti Singh,Sukhdev Singh Dhindsa,Rajendra Patni,Mahendra Singh Patel,Ravela Kishore Babu,TMC,Tummala Nageswara Rao,Talari Aditya,,,,,,,,,,ANIL KUMAR,,,,,,,,,,,,,,
Meira Kumar,Arun Shourie,Ankit Lal,Udhayakumar,Sanjay Kumar Das Burma,,,,,,Anil Singh,Jitendra Choudhury,P. Dhanapal,Sanjay Dina Patil,Shakti Singh Yadav,Janmeja Singh Sekhon,Gajanan Kirtikar,Mamta Chaudhary,Buddha Venkanna,AITMC,E. Rajender,Kodali Sri Venkateswara Rao,,,,,,,,,,MANOJ KUMAR SINGH,,,,,,,,,,,,,,
Bhupinder Singh Hooda,Subramanian Swamy,Raghav Chadha,Pandian,Priyadarshi Mishra,,,,,,Bhimrao Ambedkar,Shameem Faizee,DMK,Dr. Amol Kolhe,Prabhunath Singh,Mantar Singh Brar,Anandrao Adsul,Manoj Agrawal,C. M. Ramesh,Trinamool,Koppula Eshwar,A. Ramakrishna Reddy,,,,,,,,,,MANORANJAN SINGH,,,,,,,,,,,,,,
Naveen Jindal,Kalyan Singh,Jasmine Shah,Semmalai,Bikram Keshari Arukha,,,,,,Sudhindra Bhadoria,Gurudas Dasgupta,Dravida Munnetra Kazhagam,Vandana Chavan,Janardan Singh Sigriwal,Daljit Singh Cheema,Bhavana Gawali,Meera Vardhan,Galla Jayadev,Mamata Banerjee,Vinod Kumar Boinapally,Ramireddy Pratap Kumar Reddy,,,,,,,,,,SALEEM PERWEZ,,,,,,,,,,,,,,
Shakeel Ahmed,Vijay Rupani,Naveen Jaihind,Balaraman,Samir Ranjan Dash,,,,,,Ram Achal Rajbhar,P. R. Natarajan,Stalin,Sunil Tatkare,Satyadev Ram,Gurpartap Singh Wadala,Shivajirao Adhalrao Patil,Mohammad Azam Khan,Maganti Murali Mohan,Abhishek Banerjee,B. Vinod Kumar,Alla Nani,,,,,,,,,,RAM SUNDAR DAS,,,,,,,,,,,,,,
RPN Singh,M. Venkaiah Naidu,Sushil Gupta,Thambidurai,Niranjan Pujari,,,,,,Lalji Verma,Amra Ram,Karunanidhi,Rajendra Shingne,Shakuni Choudhary,Baldev Singh Mann,Shrirang Barne,Mohammed Asif,Kambhampati Rammohan Rao,Subrata Bakshi,G. Jagadish Reddy,Mekathoti Sucharita,,,,,,,,,,ASHWAMEDH DEVI,,,,,,,,,,,,,,
Mohsina Kidwai,Sarbananda Sonowal,Bhagwant Mann,Velumani,Sushant Singh,,,,,,Dara Singh Chauhan,Shyamlal Chakraborty,Kanimozhi Karunanidhi,Dhananjay Munde,Shakeel Ahmad Khan,Amarpal Singh Bonny,Hemant Godse,Mohammed Shahid,Nama Nageswara Rao,Firhad Hakim,Nayani Narasimha Reddy,Kakani Govardhan Reddy,,,,,,,,,,MAHESHWAR HAZARI,,,,,,,,,,,,,,
Sushmita Dev,B.S. Yediyurappa,Baljinder Kaur,Vijayabaskar,Premananda Nayak,,,,,,Kusum Singh Mehra,Niranjan Jyoti,Dayanidhi Maran,Ranjitsinh Mohite Patil,Mundrika Singh Yadav,Sikander Singh Maluka,Krupal Tumane,Mohd Irfan,N. Chandrababu Naidu,Subrata Mukherjee,Jupally Krishna Rao,Kotamreddy Sridhar Reddy,,,,,,,,,,DINESH CHANDRA YADAV,,,,,,,,,,,,,,
Jitin Prasada,Anandiben Patel,Sarabjit Kaur Manuke,Anbazhagan,Ranendra Pratap Swain,,,,,,Mukhtar Ansari,G. Ramakrishnan,T. R. Baalu,Jayant Patil,Sanjay Yadav,Sarwan Singh Phillaur,Arvind Sawant,Mohd. Shahid,Nara Lokesh,Partha Chatterjee,P. Srinivas Reddy,Dharmana Krishna Das,,,,,,,,,,ABU QAISER,,,,,,,,,,,,,,
